Fecha,Clics,Impresiones,CTR,Posición
2025-10-24,3,803,0.37%,21.3
2025-10-25,1,697,0.14%,22.1
2025-10-26,3,999,0.3%,22
2025-10-27,5,935,0.53%,20
2025-10-28,10,1054,0.95%,20
2025-10-29,5,1163,0.43%,21.4
2025-10-30,2,1163,0.17%,19.3
2025-10-31,2,973,0.21%,21.9
2025-11-01,0,1029,0%,23.7
2025-11-02,2,904,0.22%,23.1
2025-11-03,7,1133,0.62%,21.3
2025-11-04,6,1218,0.49%,21.2
2025-11-05,8,1114,0.72%,19.7
2025-11-06,3,1187,0.25%,20
2025-11-07,1,1147,0.09%,22.3
2025-11-08,3,965,0.31%,21.4
2025-11-09,1,1025,0.1%,20
2025-11-10,14,1495,0.94%,20
2025-11-11,9,1898,0.47%,16.8
2025-11-12,3,1343,0.22%,19.8
2025-11-13,2,1658,0.12%,18.7
2025-11-14,3,1261,0.24%,18.2
2025-11-15,0,1064,0%,20.7
2025-11-16,1,1356,0.07%,19.7
2025-11-17,2,1177,0.17%,19.7
2025-11-18,4,1333,0.3%,23
2025-11-19,5,1378,0.36%,21.3
2025-11-20,2,1261,0.16%,21.6
2025-11-21,1,1167,0.09%,21.1
2025-11-22,2,1111,0.18%,21.6
2025-11-23,1,1176,0.09%,20.6
2025-11-24,3,1359,0.22%,23.5
2025-11-25,1,1564,0.06%,22.9
2025-11-26,3,1179,0.25%,22.4
2025-11-27,3,1491,0.2%,22.6
2025-11-28,2,1285,0.16%,23.3
2025-11-29,1,1054,0.09%,24.1
2025-11-30,2,1139,0.18%,22
2025-12-01,2,1303,0.15%,23.3
2025-12-02,6,1252,0.48%,22.5
2025-12-03,5,1255,0.4%,23.4
2025-12-04,1,1380,0.07%,23.4
2025-12-05,2,1402,0.14%,24.1
2025-12-06,1,1143,0.09%,22.9
2025-12-07,0,1558,0%,21.7
2025-12-08,1,1514,0.07%,21.5
2025-12-09,4,1496,0.27%,18.9
2025-12-10,3,1418,0.21%,20.7
2025-12-11,3,1400,0.21%,21.5
2025-12-12,0,1458,0%,25
2025-12-13,1,1284,0.08%,26.7
2025-12-14,2,1275,0.16%,27.9
2025-12-15,2,1419,0.14%,27.5
2025-12-16,4,1265,0.32%,27.7
2025-12-17,4,1011,0.4%,28.2
2025-12-18,4,1148,0.35%,30.8
2025-12-19,5,1122,0.45%,32
2025-12-20,1,1024,0.1%,31.4
2025-12-21,2,1229,0.16%,29.1
2025-12-22,5,1398,0.36%,27.8
2025-12-23,1,1179,0.08%,29
2025-12-24,1,1070,0.09%,31.6
2025-12-25,0,1081,0%,31.1
2025-12-26,1,1167,0.09%,29.5
2025-12-27,2,965,0.21%,30.9
2025-12-28,0,1147,0%,30.6
2025-12-29,1,1189,0.08%,28.5
2025-12-30,2,1177,0.17%,28.5
2025-12-31,1,1205,0.08%,29.2
2026-01-01,0,1133,0%,30.4
2026-01-02,3,1246,0.24%,27.8
2026-01-03,2,1071,0.19%,29.2
2026-01-04,5,1214,0.41%,29.5
2026-01-05,2,1316,0.15%,28.8
2026-01-06,1,1364,0.07%,28.1
2026-01-07,1,1227,0.08%,29.8
2026-01-08,4,1435,0.28%,30
2026-01-09,3,1302,0.23%,32.4
2026-01-10,2,1192,0.17%,33.3
2026-01-11,1,1100,0.09%,32.5
2026-01-12,4,1585,0.25%,32
2026-01-13,5,1320,0.38%,30
2026-01-14,6,1577,0.38%,33.1
2026-01-15,9,1348,0.67%,31.9
2026-01-16,4,1398,0.29%,29.6
2026-01-17,0,1242,0%,32.6
2026-01-18,1,1494,0.07%,36.2
2026-01-19,8,1384,0.58%,31.8
2026-01-20,9,1344,0.67%,30.7
2026-01-21,4,1309,0.31%,30.3
2026-01-22,7,1337,0.52%,29.1
2026-01-23,3,1206,0.25%,29